PK_Enrollment,K_Enrollment,1_Enrollment,2_Enrollment,3_Enrollment,4_Enrollment,5_Enrollment,6_Enrollment,7_Enrollment,8_Enrollment,9_Enrollment,10_Enrollment,11_Enrollment,12_Enrollment,SP_Enrollment,TOTAL_Enrollment,% First Language Not English,% English Language Learner,% Students With Disabilities,% High Needs,% Economically Disadvantaged,% African American,% Asian,% Hispanic,% White,% Native American,"% Native Hawaiian, Pacific Islander","% Multi-Race, Non-Hispanic",% Males,% Females,Total # of Classes,Average Class Size,Number of Students,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,Average In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Average Expenditures per Pupil,School Accountability Percentile (1-99),Progress and Performance Index (PPI) - All Students,Progress and Performance Index (PPI) - High Needs Students,Insufficient data_School,Level 1_School,Level 2_School,Level 3_School,Level 4_School,Level 5_School,Insufficient data_District,Level 1_District,Level 2_District,Level 3_District,Level 4_District,Level 5_District
0,0,0,0,0,0,0,0,0,0,124,109,123,92,4,452,5.3,2.4,9.7,28.8,21.5,2.2,1.5,9.1,85.8,0.2,0.2,0.9,45.6,54.4,204.0,15.8,451.0,9489496.0,74662.0,127.0,23365711.18,1939.0,12050.39,27229100.8,2051.8,13270.84,42.0,76.0,75.0,0,1,0,0,0,0,0,0,0,1,0,0
0,0,125,164,148,143,0,0,0,0,0,0,0,0,0,580,10.5,7.2,13.3,37.1,23.3,1.9,1.9,6.7,88.4,0.5,0.2,0.3,50.2,49.8,325.0,24.6,643.0,9489496.0,74662.0,127.0,23365711.18,1939.0,12050.39,27229100.8,2051.8,13270.84,34.0,69.0,73.0,0,0,0,1,0,0,0,0,0,1,0,0
69,134,0,0,0,0,0,0,0,0,0,0,0,0,0,203,12.8,3.0,21.2,34.0,16.3,3.9,3.0,8.4,84.7,0.0,0.0,0.0,54.2,45.8,112.0,14.6,208.0,9489496.0,74662.0,127.0,23365711.18,1939.0,12050.39,27229100.8,2051.8,13270.84,51.69046073977936,72.28346951602765,68.75151108126259,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,159,169,0,0,0,0,0,328,5.5,1.8,13.1,30.8,21.6,2.4,1.8,6.1,89.3,0.0,0.0,0.3,53.4,46.6,218.0,21.1,342.0,9489496.0,74662.0,127.0,23365711.18,1939.0,12050.39,27229100.8,2051.8,13270.84,40.0,63.0,64.0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,180,173,0,0,0,0,0,0,0,353,5.9,2.0,10.8,30.6,22.7,2.0,1.4,4.2,92.1,0.0,0.0,0.3,50.7,49.3,121.0,30.4,334.0,9489496.0,74662.0,127.0,23365711.18,1939.0,12050.39,27229100.8,2051.8,13270.84,52.0,65.0,67.0,0,0,1,0,0,0,0,0,0,1,0,0
50,84,99,102,107,96,0,0,0,0,0,0,0,0,0,538,0.6,0.4,14.3,35.5,25.3,0.7,0.2,3.3,92.8,0.2,0.0,2.8,53.2,46.8,237.0,20.1,558.0,4543438.0,64906.0,70.0,10825382.24,967.5,11189.03,15201154.44,1281.7,11860.15,65.0,74.0,68.0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,105,121,77,114,0,0,0,0,0,417,1.0,0.5,13.7,29.3,19.7,0.7,0.2,1.0,97.4,0.0,0.0,0.7,50.8,49.2,309.0,16.9,426.0,4543438.0,64906.0,70.0,10825382.24,967.5,11189.03,15201154.44,1281.7,11860.15,53.0,52.0,52.0,0,0,1,0,0,0,0,0,1,0,0,0
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,1.3,0.0,41.1,51.7,29.8,4.6,8.6,12.6,71.5,0.0,0.0,2.6,57.6,42.4,16.0,11.9,191.0,20849537.0,64769.0,322.0,53871628.43,3976.8,13546.48,59044278.63,4110.8,14363.21,51.69046073977936,72.28346951602765,68.75151108126259,1,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,299,309,293,315,6,1222,4.6,1.3,14.1,32.0,22.7,1.2,2.2,5.8,88.8,0.0,0.1,1.9,52.0,48.0,590.0,16.8,1242.0,20849537.0,64769.0,322.0,53871628.43,3976.8,13546.48,59044278.63,4110.8,14363.21,41.0,65.0,61.0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,253,309,0,0,0,0,0,562,6.2,1.1,14.9,34.5,23.3,1.4,1.4,7.1,87.0,0.0,0.0,3.0,47.9,52.1,847.0,11.8,607.0,20849537.0,64769.0,322.0,53871628.43,3976.8,13546.48,59044278.63,4110.8,14363.21,30.0,54.0,54.0,0,0,1,0,0,0,0,0,1,0,0,0
